name,district,bedroomNum,livingroomNum,bathroomNum,area,type_floorNum,builtYear,direction,distance2SW,price
新安里,大兴,2,1,1,89.8㎡,低层(共6层),2004年建造,南北,,288
新安里,大兴,2,1,1,90㎡,低层(共6层),1998年建造,南北,,288
新安里,大兴,2,1,1,81.2㎡,低层(共6层),2000年建造,南北,,292
新安里,大兴,3,1,1,90.1㎡,低层(共6层),1998年建造,西南,,288
首座御园(二期2号院),大兴,2,1,1,92㎡,低层(共14层),2015年建造,东北,,280
首座御园(二期2号院),大兴,2,1,1,92㎡,低层(共14层),2000年建造,东北,,280
新居里小区,大兴,2,1,1,82㎡,低层(共6层),2003年建造,南北,,249
新居里小区,大兴,2,1,1,80.4㎡,低层(共6层),2001年建造,南北,,240
首座御园(二期2号院),大兴,2,1,1,91.9㎡,中层(共14层),2000年建造,东北,,288
首座御园(二期2号院),大兴,2,1,1,90㎡,中层(共14层),2015年建造,东南,,291
首座御园(二期2号院),大兴,2,1,1,90㎡,中层(共14层),2000年建造,东南,,291
新安里,大兴,2,1,1,95㎡,高层(共6层),2000年建造,南北,,255
新居里小区,大兴,2,2,1,90.7㎡,高层(共6层),2001年建造,南北,,240
首座御园(二期2号院),大兴,1,1,1,80㎡,低层(共14层),2010年建造,东南,,245
首座御园(一期),大兴,2,2,1,92㎡,低层(共8层),2000年建造,南北,,343
首座御园(一期),大兴,2,1,1,92㎡,低层(共8层),2010年建造,南北,,343
首座御园(一期),大兴,2,1,1,91.7㎡,低层(共8层),2010年建造,南北,,355
首座御园(一期),大兴,2,2,1,92㎡,低层(共8层),2000年建造,南北,,355
首座御园(一期),大兴,2,1,1,92㎡,低层(共8层),2010年建造,南北,,355
首座御园(一期),大兴,2,1,1,91.7㎡,低层(共8层),2010年建造,南北,,324
首座御园(一期),大兴,2,1,1,92㎡,低层(共8层),2010年建造,南北,,320
首座御园(一期),大兴,2,1,1,92㎡,低层(共8层),2000年建造,南北,,325
首座御园(一期),大兴,2,1,1,92㎡,低层(共8层),2010年建造,南北,,330
首座御园(一期),大兴,2,1,1,92㎡,低层(共8层),2010年建造,南北,,333
首座御园(一期),大兴,2,1,1,93㎡,低层(共8层),2010年建造,南北,,372
首座御园(一期),大兴,2,2,1,92㎡,低层(共8层),2000年建造,南北,,338
首座御园(一期),大兴,2,1,1,91.8㎡,低层(共9层),2012年建造,南北,,325
首座御园(一期),大兴,2,1,1,93.9㎡,低层(共8层),2010年建造,南北,,329
首座御园(二期2号院),大兴,2,1,1,92㎡,低层(共14层),2015年建造,东北,,280
新居里小区,大兴,2,1,1,82㎡,低层(共6层),2003年建造,南北,,249
首座御园(二期2号院),大兴,2,1,1,90㎡,中层(共14层),2000年建造,东南,,291
首座御园(二期2号院),大兴,2,1,1,90㎡,中层(共14层),2015年建造,东南,,291
首座御园(二期2号院),大兴,2,1,1,91.9㎡,中层(共14层),2000年建造,东北,,288
新居里小区,大兴,2,2,1,90.7㎡,高层(共6层),2001年建造,南北,,240
新居里小区,大兴,2,1,1,90.7㎡,高层(共6层),2000年建造,南北,,240
首座御园(一期),大兴,2,2,1,92㎡,低层(共8层),2000年建造,南北,,343
首座御园(一期),大兴,2,1,1,92㎡,低层(共8层),2010年建造,南北,,355
首座御园(一期),大兴,2,1,1,92㎡,低层(共8层),2010年建造,南北,,343
首座御园(一期),大兴,2,1,1,93.9㎡,低层(共8层),2010年建造,南北,,329
首座御园(一期),大兴,2,2,1,92㎡,低层(共8层),2010年建造,南北,,338
首座御园(一期),大兴,2,1,1,92㎡,低层(共8层),2010年建造,南北,,330
首座御园(二期2号院),大兴,2,1,1,92㎡,低层(共14层),2000年建造,东北,,280
新居里小区,大兴,2,1,1,82㎡,低层(共6层),2003年建造,南北,,249
首座御园(二期2号院),大兴,2,1,1,90㎡,中层(共14层),2000年建造,东南,,291
新居里小区,大兴,2,1,1,90.7㎡,高层(共6层),2000年建造,南北,,240
首座御园(一期),大兴,2,1,1,92㎡,低层(共8层),2010年建造,南北,,355
首座御园(一期),大兴,2,1,1,93.9㎡,低层(共8层),2010年建造,南北,,329
首座御园(二期2号院),大兴,2,1,1,92㎡,低层(共14层),2014年建造,东北,,280
首座御园(二期2号院),大兴,2,1,1,90㎡,中层(共14层),2000年建造,东南,,291
新居里小区,大兴,2,1,1,90.7㎡,高层(共6层),2000年建造,南北,,240
首座御园(二期2号院),大兴,2,1,1,92㎡,低层(共14层),2000年建造,东北,,280
首座御园(二期2号院),大兴,2,1,1,90㎡,中层(共14层),2000年建造,东南,,291
首座御园(一期),大兴,2,2,1,92㎡,低层(共8层),2000年建造,南北,,355
新安里,大兴,2,1,1,89㎡,高层(共6层),2004年建造,南北,,255
新安里,大兴,2,1,1,89㎡,高层(共6层),2004年建造,南北,,255
首座御园(一期),大兴,2,2,1,94㎡,低层(共8层),2015年建造,南北,,329
新居里小区,大兴,2,1,1,90.7㎡,高层(共6层),2000年建造,南北,,240
首座御园(一期),大兴,2,2,1,92㎡,低层(共8层),2000年建造,南北,,355
首座御园(一期),大兴,2,2,1,92㎡,低层(共8层),2000年建造,南北,,355
新居里小区,大兴,2,1,1,90.7㎡,高层(共6层),2000年建造,南北,,240
首座御园(一期),大兴,2,1,1,92㎡,低层(共8层),2009年建造,南北,,320
首座御园(一期),大兴,2,1,1,92㎡,低层(共8层),2010年建造,南北,,330
首座御园(一期),大兴,2,1,1,91.8㎡,低层(共8层),2010年建造,南北,,323
首座御园(一期),大兴,2,1,1,92㎡,低层(共8层),2000年建造,南北,,640
首座御园(一期),大兴,2,1,1,93.9㎡,低层(共8层),2010年建造,南北,,329
首座御园(一期),大兴,2,1,1,91.7㎡,低层(共8层),2010年建造,南北,,324
首座御园(一期),大兴,2,2,1,92㎡,低层(共8层),2000年建造,南北,,338
首座御园(一期),大兴,2,1,1,93㎡,低层(共8层),2010年建造,南北,,372
首座御园(一期),大兴,2,1,1,91.7㎡,低层(共8层),2010年建造,南北,,320
首座御园(一期),大兴,2,1,1,92㎡,低层(共8层),2010年建造,南北,,330
首座御园(一期),大兴,2,1,1,92㎡,低层(共8层),2010年建造,南北,,384
首座御园(一期),大兴,2,1,1,92㎡,低层(共8层),2000年建造,南北,,325
首座御园(一期),大兴,2,2,1,94㎡,低层(共8层),2015年建造,南北,,329
首座御园(一期),大兴,2,1,1,91.8㎡,低层(共9层),2012年建造,南北,,325
首座御园(一期),大兴,2,2,1,92.1㎡,低层(共8层),2013年建造,南北,,330
首座御园(一期),大兴,2,1,1,92㎡,低层(共8层),2010年建造,南北,,640
首座御园(一期),大兴,2,1,1,92㎡,低层(共8层),2010年建造,南北,,640
首座御园(一期),大兴,2,1,1,91.5㎡,低层(共8层),2009年建造,南北,,324
首座御园(一期),大兴,2,1,1,91.7㎡,低层(共8层),2013年建造,南北,,320
草桥东路20号院,丰台,3,1,1,95.2㎡,低层(共6层),2001年建造,南北,,662
首座御园(一期),大兴,3,2,0,92㎡,低层(共8层),2000年建造,南北,,620
草桥东路20号院,丰台,3,1,1,90.7㎡,低层(共6层),2001年建造,南北,,656
首座御园(一期),大兴,3,2,0,92㎡,低层(共8层),2000年建造,南北,,620
首座御园(一期),大兴,2,1,1,91.7㎡,低层(共8层),2010年建造,南北,,324
首座御园(一期),大兴,2,1,1,92㎡,低层(共8层),2000年建造,南北,,325
首座御园(一期),大兴,2,1,1,93.9㎡,低层(共8层),2010年建造,南北,,329
首座御园(一期),大兴,2,1,1,92㎡,低层(共8层),2009年建造,南北,,320
首座御园(一期),大兴,2,2,1,94㎡,低层(共8层),2015年建造,南北,,329
首座御园(一期),大兴,2,1,1,91.8㎡,低层(共8层),2010年建造,南北,,323
首座御园(一期),大兴,3,2,0,92㎡,低层(共8层),2000年建造,南北,,620
草桥东路20号院,丰台,3,1,1,90.7㎡,低层(共6层),2001年建造,南北,,656
草桥东路20号院,丰台,3,1,1,95.2㎡,低层(共6层),2001年建造,南北,,662
首座御园(一期),大兴,2,1,1,91.8㎡,低层(共8层),2015年建造,南北,,323
首座御园(一期),大兴,2,1,1,92㎡,低层(共8层),2000年建造,南北,,325
首座御园(一期),大兴,2,2,1,94㎡,低层(共8层),2015年建造,南北,,329
首座御园(一期),大兴,2,1,1,93.9㎡,低层(共8层),2010年建造,南北,,329
草桥东路20号院,丰台,3,1,1,95.2㎡,低层(共6层),2001年建造,南北,,662
草桥东路20号院,丰台,3,1,1,90.7㎡,低层(共6层),2001年建造,南北,,656
首座御园(一期),大兴,2,1,1,92㎡,低层(共8层),2000年建造,南北,,325
首座御园(一期),大兴,2,1,1,91.8㎡,低层(共8层),2010年建造,南北,,323
首座御园(一期),大兴,2,1,1,92.3㎡,低层(共8层),2009年建造,南北,,335
草桥东路20号院,丰台,3,1,1,95.2㎡,低层(共6层),2000年建造,南北,,662
草桥东路20号院,丰台,3,1,1,90.7㎡,低层(共6层),2001年建造,南北,,656
首座御园(一期),大兴,2,1,1,92㎡,低层(共8层),2000年建造,南北,,325
首座御园(一期),大兴,2,1,1,93.9㎡,低层(共8层),2010年建造,南北,,329
首座御园(一期),大兴,2,1,1,91.8㎡,低层(共8层),2010年建造,南北,,323
草桥东路20号院,丰台,3,1,1,90.7㎡,低层(共6层),2001年建造,南北,,656
草桥东路20号院,丰台,3,1,1,95.2㎡,低层(共6层),2001年建造,南北,,662
首座御园(一期),大兴,2,1,1,93.9㎡,低层(共8层),2010年建造,南北,,329
首座御园(一期),大兴,2,1,1,91.8㎡,低层(共8层),2010年建造,南北,,323
草桥东路20号院,丰台,3,1,1,95.2㎡,低层(共6层),2001年建造,南北,,662
草桥东路20号院,丰台,3,1,1,90.7㎡,低层(共6层),2001年建造,南北,,656
首座御园(一期),大兴,2,1,1,91.8㎡,低层(共8层),2010年建造,南北,,323
草桥东路20号院,丰台,3,1,1,95.2㎡,低层(共6层),2001年建造,南北,,662
草桥东路20号院,丰台,3,1,1,90.7㎡,低层(共6层),2001年建造,南北,,656
草桥东路20号院,丰台,3,1,1,95.2㎡,低层(共6层),2001年建造,南北,,662
草桥东路20号院,丰台,3,1,1,90.7㎡,低层(共6层),2001年建造,南北,,656
草桥东路20号院,丰台,3,1,1,95.2㎡,低层(共6层),2001年建造,南北,,662
草桥东路20号院,丰台,3,1,1,90.7㎡,低层(共6层),2001年建造,南北,,656
草桥东路20号院,丰台,3,1,1,90.7㎡,低层(共6层),2001年建造,南北,,656
草桥东路20号院,丰台,3,1,1,95.2㎡,低层(共6层),2001年建造,南北,,662
草桥东路20号院,丰台,3,1,1,90.7㎡,低层(共6层),2001年建造,南北,,656
万柳园,丰台,2,1,1,54.5㎡,高层(共6层),1993年建造,南北,,290
草桥东路28号院,丰台,3,1,1,55.9㎡,高层(共6层),1988年建造,南北,,290
首座御园(二期2号院),大兴,2,2,1,97㎡,低层(共14层),2015年建造,南北,,335
首座御园(二期2号院),大兴,2,1,1,92㎡,低层(共14层),2015年建造,西北,,270
首座御园(二期2号院),大兴,2,1,1,92㎡,低层(共14层),2000年建造,西北,,270
首座御园(二期2号院),大兴,2,1,1,94㎡,低层(共15层),2014年建造,东南,,318
首座御园(二期2号院),大兴,2,1,1,90㎡,低层(共14层),2014年建造,东北,,300
首座御园(二期2号院),大兴,2,1,1,92㎡,低层(共14层),2000年建造,西北,,270
首座御园(二期2号院),大兴,2,1,1,92㎡,低层(共14层),2000年建造,西北,,270
新安里,大兴,2,1,1,95.2㎡,高层(共6层),2004年建造,南北,,282
新居里小区,大兴,2,1,1,88.4㎡,中层(共6层),2000年建造,南北,,289
新居里小区,大兴,2,1,1,90㎡,中层(共6层),2000年建造,南北,,285
新居里小区,大兴,2,1,1,84.6㎡,中层(共6层),2000年建造,南北,,280
盛嘉华苑,大兴,3,2,1,85.8㎡,低层(共17层),2010年建造,南北,,270
盛嘉华苑,大兴,3,1,1,86㎡,低层(共17层),2000年建造,南北,,270
盛嘉华苑,大兴,3,1,1,86㎡,低层(共17层),2000年建造,南北,,270
盛嘉华苑,大兴,3,1,1,86㎡,低层(共17层),2000年建造,南北,,270
首座御园(二期2号院),大兴,2,1,1,96㎡,高层(共9层),2015年建造,东南,,348
新安里,大兴,2,1,1,94.7㎡,高层(共6层),2004年建造,南北,,269
首座御园(一期),大兴,2,1,1,92.3㎡,高层(共8层),2010年建造,南北,,425
首座御园(一期),大兴,2,1,1,92㎡,高层(共8层),2010年建造,南北,,400
新居里小区,大兴,2,1,1,85㎡,高层(共6层),2002年建造,南,,269
首座御园(一期),大兴,2,1,2,92㎡,高层(共8层),2013年建造,南北,,425
新居里小区,大兴,2,1,1,95㎡,高层(共6层),1997年建造,南北,,273
首座御园(一期),大兴,2,3,2,92㎡,高层(共8层),2009年建造,南北,,426
新居里小区,大兴,2,1,1,80.4㎡,高层(共6层),2000年建造,南北,,235
首座御园(一期),大兴,2,1,1,92㎡,高层(共8层),2010年建造,南北,,425
首座御园(一期),大兴,2,1,1,92.3㎡,高层(共8层),2010年建造,南北,,390
新居里小区,大兴,2,2,1,85㎡,高层(共6层),2002年建造,南,,269
首座御园(一期),大兴,2,1,2,92.3㎡,高层(共8层),2009年建造,南北,,425
新居里小区,大兴,3,1,1,98㎡,中层(共6层),2000年建造,南北,,299
草桥东路20号院,丰台,3,1,1,90.7㎡,低层(共6层),2001年建造,南北,,656
草桥东路20号院,丰台,3,1,1,95.2㎡,低层(共6层),2001年建造,南北,,662
万柳园,丰台,2,1,1,54.5㎡,高层(共6层),1993年建造,南北,,290
草桥东路28号院,丰台,3,1,1,55.9㎡,高层(共6层),1988年建造,南北,,290
首座御园(二期2号院),大兴,2,1,1,90㎡,低层(共14层),2014年建造,东北,,300
首座御园(二期2号院),大兴,2,1,1,94㎡,低层(共15层),2014年建造,东南,,318
盛嘉华苑,大兴,3,2,1,85.8㎡,低层(共17层),2010年建造,南北,,270
首座御园(二期2号院),大兴,2,1,1,96㎡,高层(共9层),2015年建造,东南,,348
首座御园(一期),大兴,2,1,1,92㎡,高层(共8层),2010年建造,南北,,400
首座御园(一期),大兴,2,3,2,92.4㎡,高层(共8层),2014年建造,南北,,415
首座御园(一期),大兴,2,1,1,92.3㎡,高层(共8层),2010年建造,南北,,425
首座御园(一期),大兴,2,1,2,92.3㎡,高层(共8层),2010年建造,南北,,425
新居里小区,大兴,3,1,1,98㎡,中层(共6层),2000年建造,南北,,299
草桥东路20号院,丰台,3,1,1,95.2㎡,低层(共6层),2001年建造,南北,,662
草桥东路20号院,丰台,3,1,1,90.7㎡,低层(共6层),2001年建造,南北,,656
首座御园(二期2号院),大兴,2,1,1,90㎡,低层(共14层),2014年建造,东北,,300
